,Unnamed: 0,Book Id,Category
1390,1390,20170404,Amerikanisches Englisch
1394,1394,20170404,Dystopian
1395,1395,20170404,Epidemics
1397,1397,20170404,Fiction / Literary
1400,1400,20170404,Literary
1403,1403,20170404,Science Fiction
1406,1406,20170404,Time Travel
1408,1408,45754981,Brothers And Sisters
1410,1410,45754981,English Literature
1412,1412,45754981,Fiction / Literary
1414,1414,45754981,Fiction / Psychological
1417,1417,45754981,Missing Persons
1418,1418,45754981,Mystery & Detective
1419,1419,45754981,Mystery Fiction
1423,1423,45754981,Psychological
1424,1424,45754981,Siblings
1426,1426,24400501,Fantasy
1428,1428,24400501,Fiction / Fantasy / General
1431,1431,24400501,History And Criticism
1434,1434,24400501,Revenge
1435,1435,24400501,Slavery
1436,1436,24400501,Young Men
1437,1437,18247597,Fantasy
1438,1438,18247597,Fantasy Fiction
1443,1443,32620332,Biography
1445,1445,32620332,Contemporary
1450,1450,32620332,Man-Woman Relationships
1454,1454,32620332,Romance
1455,1455,32620332,Women Journalists
1458,1458,52845775,Américains D'Origine Asiatique
1459,1459,52845775,Asian & Asian American
1461,1461,52845775,Asian Americans
1462,1462,52845775,Biographies
1463,1463,52845775,Biography
1464,1464,52845775,Biography & Autobiography
1466,1466,52845775,Cultural
1467,1467,52845775,Ethnic & Regional
1470,1470,52845775,History
1477,1477,52845775,United States
1478,1478,52845775,Women
1486,1486,8694,English Literature
1487,1487,8694,Fantasy
1494,1494,8694,Humorous
1501,1501,8694,Science Fiction
1512,1512,338691,Detective And Mystery Stories
1513,1513,338691,Etc
1516,1516,338691,Large Print Books
1519,1519,338691,Mystery & Detective
1521,1521,338691,Nouvelles
1522,1522,338691,Police
1524,1524,338691,Police Procedural
1526,1526,338691,Suspense
1532,1532,33385229,Adventure And Adventurers
1533,1533,33385229,Children'S Fiction
1534,1534,33385229,Death
1536,1536,33385229,Friendship
1537,1537,33385229,Gay Men
1538,1538,33385229,Gays
1541,1541,33385229,Juvenile Fiction
1543,1543,33385229,Love
1544,1544,33385229,New York (N.Y.)
1546,1546,33385229,Romance Fiction
1547,1547,33385229,Young Adult Fiction
1548,1548,33917107,20Th Century
1552,1552,33917107,Essays
1554,1554,33917107,History
1560,1560,33917107,Political Science
1562,1562,33917107,Social Science
1563,1563,33917107,Totalitarianism
1578,1578,1371,Adventure
1581,1581,1371,Children'S Fiction
1587,1587,1371,Comics & Graphic Novels
1588,1588,1371,Continental European Fiction (Fictional Works By One Author)
1589,1589,1371,Criticism And Interpretation
1591,1591,1371,Dictionaries
1593,1593,1371,English Language
1594,1594,1371,English Literature
1597,1597,1371,Epic Poetry
1598,1598,1371,Etc. Pour La Jeunesse
1599,1599,1371,Examinations
1602,1602,1371,Fiction / Classics
1606,1606,1371,Great Books Of The Western World
1609,1609,1371,Greek
1616,1616,1371,Greek Mythology
1618,1618,1371,Greek--Fiction
1628,1628,1371,Historical
1629,1629,1371,History And Criticism
1637,1637,1371,Juvenile Literature
1640,1640,1371,Korean
1645,1645,1371,Literature
1652,1652,1371,Mythology
1654,1654,1371,Nouvelles
1672,1672,1371,Poetry
1673,1673,1371,Poetry (Poetic Works By One Author)
1674,1674,1371,Poetry / Ancient & Classical
1677,1677,1371,Readers
1679,1679,1371,Study Guides
1682,1682,1371,Traducciones Al Español
1684,1684,1371,Translations
1687,1687,1371,Translations Into Chinese
1690,1690,1371,Translations Into English
1691,1691,1371,Translations Into French
1692,1692,1371,Translations Into German
1698,1698,1371,Translations Into Spanish
1710,1710,1371,War
1711,1711,1371,War & Military
1714,1714,18656031,Fantasy
1717,1717,18656031,Powieść Fantastyczna Polska
1718,1718,14781491,Action & Adventure
1722,1722,14781491,Epic
1723,1723,14781491,Fantasy
1726,1726,14781491,Magic
1727,1727,14781491,Monsters
1728,1728,14781491,Murder
1730,1730,14781491,Powieść Fantastyczna Polska
1731,1731,14781491,Prophecy
1732,1732,14781491,Suffering
1733,1733,14781491,Wizards
1742,1742,19351,Epic Poetry
1743,1743,19351,Poetry
1744,1744,19351,Poetry (Poetic Works By One Author)
1745,1745,19351,Poetry / Ancient & Classical
1747,1747,19351,Translations Into English
1750,1750,35959740,Animals
1754,1754,35959740,Fantasy
1758,1758,35959740,Fiction / Literary
1762,1762,35959740,Greek
1763,1763,35959740,Greek Mythology
1764,1764,35959740,Greek--Fiction
1765,1765,35959740,Historical
1766,1766,35959740,Historical Fiction
1767,1767,35959740,Literary
